,satisfaction_level,last_evaluation_score,project_count,average_monthly_hours,years_of_working,workplace_acciedent_count,employment_status,promotion_last_5years,department,salary_range,Score_variance
0,0.38,0.53,2,157,3,0,1,0,sales,low,0.15000000000000002
2,0.11,0.88,7,272,4,0,1,0,sales,medium,0.77
3,0.72,0.87,5,223,5,0,1,0,sales,low,0.15000000000000002
4,0.37,0.52,2,159,3,0,1,0,sales,low,0.15000000000000002
5,0.41,0.5,2,153,3,0,1,0,sales,low,0.09000000000000002
6,0.1,0.77,6,247,4,0,1,0,sales,low,0.67
7,0.92,0.85,5,259,5,0,1,0,sales,low,-0.07000000000000006
8,0.89,1.0,5,224,5,0,1,0,sales,low,0.10999999999999999
9,0.42,0.53,2,142,3,0,1,0,sales,low,0.11000000000000004
10,0.45,0.54,2,135,3,0,1,0,sales,low,0.09000000000000002
11,0.11,0.81,6,305,4,0,1,0,sales,low,0.7000000000000001
12,0.84,0.92,4,234,5,0,1,0,sales,low,0.08000000000000007
13,0.41,0.55,2,148,3,0,1,0,sales,low,0.14000000000000007
14,0.36,0.56,2,137,3,0,1,0,sales,low,0.20000000000000007
15,0.38,0.54,2,143,3,0,1,0,sales,low,0.16000000000000003
16,0.45,0.47,2,160,3,0,1,0,sales,low,0.019999999999999962
18,0.45,0.51,2,160,3,1,1,1,sales,low,0.06
19,0.76,0.89,5,262,5,0,1,0,sales,low,0.13
20,0.11,0.83,6,282,4,0,1,0,sales,low,0.72
21,0.38,0.55,2,147,3,0,1,0,sales,low,0.17000000000000004
22,0.09,0.95,6,304,4,0,1,0,sales,low,0.86
23,0.46,0.57,2,139,3,0,1,0,sales,low,0.10999999999999993
24,0.4,0.53,2,158,3,0,1,0,sales,low,0.13
25,0.89,0.92,5,242,5,0,1,0,sales,low,0.030000000000000027
26,0.82,0.87,4,239,5,0,1,0,sales,low,0.050000000000000044
27,0.4,0.49,2,135,3,0,1,0,sales,low,0.08999999999999997
28,0.41,0.46,2,128,3,0,1,0,accounting,low,0.050000000000000044
29,0.38,0.5,2,132,3,0,1,0,accounting,low,0.12
30,0.09,0.62,6,294,4,0,1,0,accounting,low,0.53
31,0.45,0.57,2,134,3,0,1,0,hr,low,0.11999999999999994
32,0.4,0.51,2,145,3,0,1,0,hr,low,0.10999999999999999
33,0.45,0.55,2,140,3,0,1,0,hr,low,0.10000000000000003
35,0.1,0.94,6,255,4,0,1,0,technical,low,0.84
36,0.38,0.46,2,137,3,0,1,0,technical,low,0.08000000000000002
37,0.45,0.5,2,126,3,0,1,0,technical,low,0.04999999999999999
38,0.11,0.89,6,306,4,0,1,0,technical,low,0.78
39,0.41,0.54,2,152,3,0,1,0,technical,low,0.13000000000000006
40,0.87,0.88,5,269,5,0,1,0,technical,low,0.010000000000000009
41,0.45,0.48,2,158,3,0,1,0,technical,low,0.02999999999999997
42,0.4,0.46,2,127,3,0,1,0,technical,low,0.06
43,0.1,0.8,7,281,4,0,1,0,technical,low,0.7000000000000001
44,0.09,0.89,6,276,4,0,1,0,technical,low,0.8
45,0.84,0.74,3,182,4,0,1,0,technical,low,-0.09999999999999998
46,0.4,0.55,2,147,3,0,1,0,support,low,0.15000000000000002
48,0.4,0.54,2,148,3,0,1,0,support,low,0.14
49,0.43,0.47,2,147,3,0,1,0,support,low,0.03999999999999998
50,0.13,0.78,6,152,2,0,1,0,support,low,0.65
51,0.44,0.55,2,135,3,0,1,0,support,low,0.11000000000000004
52,0.38,0.55,2,134,3,0,1,0,support,low,0.17000000000000004
53,0.39,0.54,2,132,3,0,1,0,support,low,0.15000000000000002
54,0.1,0.92,7,307,4,0,1,0,support,low,0.8200000000000001
55,0.37,0.46,2,140,3,0,1,0,support,low,0.09000000000000002
56,0.11,0.94,7,255,4,0,1,0,support,low,0.83
57,0.1,0.81,6,309,4,0,1,0,technical,low,0.7100000000000001
58,0.38,0.54,2,128,3,0,1,0,technical,low,0.16000000000000003
59,0.85,1.0,4,225,5,0,1,0,technical,low,0.15000000000000002
60,0.85,0.91,5,226,5,0,1,0,management,medium,0.06000000000000005
61,0.11,0.93,7,308,4,0,1,0,IT,medium,0.8200000000000001
62,0.1,0.95,6,244,5,0,1,0,IT,medium,0.85
63,0.36,0.56,2,132,3,0,1,0,IT,medium,0.20000000000000007
64,0.11,0.94,6,286,4,0,1,0,IT,medium,0.83
65,0.81,0.7,6,161,4,0,1,0,IT,medium,-0.1100000000000001
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium,0.11000000000000004
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium,0.09999999999999998
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium,0.07
70,0.74,0.99,2,277,3,0,1,0,IT,medium,0.25
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium,0.68
72,0.45,0.49,2,149,3,0,1,0,product_mng,high,0.03999999999999998
73,0.09,0.87,7,295,4,0,1,0,product_mng,low,0.78
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium,0.86
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium,0.68
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium,0.73
77,0.4,0.54,2,137,3,0,1,0,marketing,medium,0.14
78,0.43,0.56,2,157,3,0,1,0,sales,low,0.13000000000000006
79,0.39,0.56,2,142,3,0,1,0,accounting,low,0.17000000000000004
80,0.45,0.54,2,140,3,0,1,0,support,low,0.09000000000000002
81,0.38,0.49,2,151,3,0,1,0,technical,low,0.10999999999999999
82,0.79,0.59,4,139,3,0,1,1,management,low,-0.20000000000000007
84,0.11,0.77,6,291,4,0,1,0,marketing,low,0.66
85,0.11,0.87,6,305,4,0,1,0,marketing,low,0.76
86,0.17,0.84,5,232,3,0,1,0,sales,low,0.6699999999999999
87,0.44,0.45,2,132,3,0,1,0,sales,low,0.010000000000000009
88,0.37,0.57,2,130,3,0,1,0,sales,low,0.19999999999999996
89,0.1,0.79,6,291,4,0,1,0,sales,low,0.6900000000000001
90,0.4,0.5,2,130,3,0,1,0,sales,low,0.09999999999999998
91,0.89,1.0,5,246,5,0,1,0,sales,low,0.10999999999999999
92,0.42,0.48,2,143,3,0,1,0,sales,low,0.06
93,0.46,0.55,2,129,3,0,1,0,sales,low,0.09000000000000002
94,0.09,0.83,6,255,4,0,1,0,sales,low,0.74
95,0.37,0.51,2,155,3,0,1,0,sales,low,0.14
96,0.1,0.77,6,265,4,0,1,0,sales,low,0.67
97,0.1,0.84,6,279,4,0,1,0,sales,low,0.74
98,0.11,0.97,6,284,4,0,1,0,sales,low,0.86
100,0.38,0.52,2,154,3,0,1,0,sales,medium,0.14
101,0.36,0.52,2,147,3,0,1,0,sales,medium,0.16000000000000003
102,0.42,0.46,2,150,3,0,1,0,sales,medium,0.040000000000000036
103,0.09,0.94,7,267,4,0,1,0,sales,medium,0.85
104,0.43,0.52,2,158,3,0,1,0,sales,medium,0.09000000000000002
105,0.24,0.46,7,224,5,0,1,0,accounting,medium,0.22000000000000003
106,0.91,1.0,4,257,5,0,1,0,accounting,medium,0.08999999999999997
107,0.44,0.5,2,148,3,0,1,0,accounting,medium,0.06
108,0.71,0.87,3,177,4,0,1,0,hr,medium,0.16000000000000003
109,0.4,0.49,2,155,3,0,1,0,hr,medium,0.08999999999999997
110,0.43,0.47,2,144,3,0,1,0,hr,medium,0.03999999999999998
111,0.09,0.85,6,289,4,0,1,0,hr,high,0.76
112,0.43,0.52,2,160,3,0,1,0,technical,low,0.09000000000000002
113,0.9,0.96,4,258,5,0,1,0,technical,medium,0.05999999999999994
114,0.84,1.0,5,234,5,0,1,0,technical,medium,0.16000000000000003
115,0.37,0.48,2,137,3,0,1,0,technical,medium,0.10999999999999999
116,0.86,0.68,5,263,2,0,1,0,technical,medium,-0.17999999999999994
117,0.11,0.84,6,251,4,0,1,0,technical,low,0.73
118,0.37,0.57,2,133,3,0,1,0,technical,low,0.19999999999999996
119,0.4,0.46,2,132,3,0,1,0,technical,low,0.06
120,0.14,0.62,4,158,4,1,1,0,technical,low,0.48
121,0.4,0.46,2,135,3,0,1,0,technical,low,0.06
123,0.11,0.84,6,300,5,1,1,0,support,low,0.73
124,0.46,0.49,2,138,3,0,1,0,support,low,0.02999999999999997
125,0.11,0.92,6,260,4,0,1,0,support,low,0.81
126,0.38,0.49,2,132,3,0,1,0,support,low,0.10999999999999999
127,0.7,0.89,3,183,5,0,1,0,support,low,0.19000000000000006
128,0.09,0.82,6,250,4,0,1,0,support,low,0.73
129,0.37,0.45,2,151,3,0,1,0,support,low,0.08000000000000002
130,0.1,0.83,6,292,4,0,1,0,support,low,0.73
131,0.38,0.57,2,140,3,0,1,0,support,low,0.18999999999999995
132,0.9,1.0,5,221,5,0,1,0,support,low,0.09999999999999998
133,0.44,0.51,2,138,3,0,1,0,support,low,0.07
134,0.36,0.5,2,132,3,0,1,0,technical,low,0.14
135,0.31,0.84,7,133,5,0,1,0,technical,low,0.53
136,0.1,0.84,6,283,4,1,1,0,technical,low,0.74
137,0.42,0.48,2,129,3,0,1,0,management,low,0.06
138,0.74,1.0,4,249,5,0,1,0,IT,low,0.26
139,0.73,0.87,5,257,5,0,1,0,IT,low,0.14
140,0.09,0.96,6,245,4,0,1,0,IT,low,0.87
141,0.45,0.53,2,155,3,0,1,0,IT,low,0.08000000000000002
142,0.11,0.8,6,256,4,0,1,0,IT,low,0.6900000000000001
143,0.37,0.47,2,152,3,0,1,0,product_mng,low,0.09999999999999998
144,0.84,0.99,4,267,5,0,1,0,product_mng,low,0.15000000000000002
145,0.41,0.46,2,151,3,0,1,0,product_mng,low,0.050000000000000044
146,0.76,0.92,4,239,5,0,1,0,product_mng,low,0.16000000000000003
147,0.11,0.87,6,306,4,0,1,0,IT,low,0.76
148,0.84,0.88,4,263,5,1,1,0,marketing,low,0.040000000000000036
149,0.39,0.5,2,147,3,0,1,0,marketing,low,0.10999999999999999
